
Beer Name                           Percentage Alcohol 
Leffe Brune                        ,6.50 
Leffe Blonde                       ,6.60 
Ayinger Celebrator Doppelbock      ,6.70 
Red Horse Beer                     ,6.90 
Ballantine IPA                     ,7.20 
Sierra Nevada Torpedo Extra IPA    ,7.20 
Chimay Blue                        ,9.00 
Dogfish Head 90 Minute IPA         ,9.00 
